Seizure file	Match ID
SGP, 06-02, 6.5t	LAC1007
SGP, 06-02, 6.5t	LAC1011-LAC7514
SGP, 06-02, 6.5t	LAC1027
SGP, 06-02, 6.5t	LAC1042-LAC3167
SGP, 06-02, 6.5t	LAC1057
SGP, 06-02, 6.5t	LAC2073
SGP, 06-02, 6.5t	LAC2074
SGP, 06-02, 6.5t	LAC2083
SGP, 06-02, 6.5t	LAC2085
SGP, 06-02, 6.5t	LAC2119
SGP, 06-02, 6.5t	LAC2127
SGP, 06-02, 6.5t	LAC3136
SGP, 06-02, 6.5t	LAC3164
SGP, 06-02, 6.5t	LAC3190
SGP, 06-02, 6.5t	LAC3192
SGP, 06-02, 6.5t	LAC3195
SGP, 06-02, 6.5t	LAC3205
SGP, 06-02, 6.5t	LAC4209
SGP, 06-02, 6.5t	LAC4238
SGP, 06-02, 6.5t	LAC4239
SGP, 06-02, 6.5t	LAC4240
SGP, 06-02, 6.5t	LAC4284
SGP, 06-02, 6.5t	LAC4289
SGP, 06-02, 6.5t	LAC5319
SGP, 06-02, 6.5t	LAC5358
SGP, 06-02, 6.5t	LAC5363
SGP, 06-02, 6.5t	LAC6427
SGP, 06-02, 6.5t	LAC6442
SGP, 06-02, 6.5t	LAC6445
SGP, 06-02, 6.5t	LAC6464
SGP, 06-02, 6.5t	LAC6469
SGP, 06-02, 6.5t	LAC7475
SGP, 06-02, 6.5t	LAC7476-LAC7478
SGP, 06-02, 6.5t	LAC7499
SGP, 06-02, 6.5t	LAC7500
HKG, 05-06, 3.9t	10CA
HKG, 05-06, 3.9t	114B
HKG, 05-06, 3.9t	114C-115C
HKG, 05-06, 3.9t	123C
HKG, 05-06, 3.9t	14CA
HKG, 05-06, 3.9t	164C
HKG, 05-06, 3.9t	173B
HKG, 05-06, 3.9t	193C-257C
HKG, 05-06, 3.9t	195C-196C
HKG, 05-06, 3.9t	230C
HKG, 05-06, 3.9t	231C
HKG, 05-06, 3.9t	240C
HKG, 05-06, 3.9t	246C
HKG, 05-06, 3.9t	248C
HKG, 05-06, 3.9t	266C
HKG, 05-06, 3.9t	290CA-291CA
HKG, 05-06, 3.9t	300C
HKG, 05-06, 3.9t	307CA
HKG, 05-06, 3.9t	321C
HKG, 05-06, 3.9t	360CA
HKG, 05-06, 3.9t	362CA
HKG, 05-06, 3.9t	371B
HKG, 05-06, 3.9t	379C
HKG, 05-06, 3.9t	390CA-391CA
HKG, 05-06, 3.9t	394CA
HKG, 05-06, 3.9t	39C
HKG, 05-06, 3.9t	440C
HKG, 05-06, 3.9t	443B
HKG, 05-06, 3.9t	45B
Bone 2008	Bone
HKG, 07-06, 2.6t	HK003-HK065
HKG, 07-06, 2.6t	HK004
HKG, 07-06, 2.6t	HK005
HKG, 07-06, 2.6t	HK007
HKG, 07-06, 2.6t	HK008-HK075
HKG, 07-06, 2.6t	HK010-HK046
HKG, 07-06, 2.6t	HK011-HK056
HKG, 07-06, 2.6t	HK012
HKG, 07-06, 2.6t	HK013
HKG, 07-06, 2.6t	HK014-HK057
HKG, 07-06, 2.6t	HK015
HKG, 07-06, 2.6t	HK016
HKG, 07-06, 2.6t	HK017
HKG, 07-06, 2.6t	HK018
HKG, 07-06, 2.6t	HK019-HK114
HKG, 07-06, 2.6t	HK020-HK029
HKG, 07-06, 2.6t	HK021
HKG, 07-06, 2.6t	HK022
HKG, 07-06, 2.6t	HK023
HKG, 07-06, 2.6t	HK025
HKG, 07-06, 2.6t	HK028
HKG, 07-06, 2.6t	HK032
HKG, 07-06, 2.6t	HK033-HK110
HKG, 07-06, 2.6t	HK035-HK099
HKG, 07-06, 2.6t	HK038-HK071
HKG, 07-06, 2.6t	HK039
HKG, 07-06, 2.6t	HK040-HK131
HKG, 07-06, 2.6t	HK041-HK135
HKG, 07-06, 2.6t	HK042
HKG, 07-06, 2.6t	HK044
HKG, 07-06, 2.6t	HK045
HKG, 07-06, 2.6t	HK048-HK124
HKG, 07-06, 2.6t	HK049
HKG, 07-06, 2.6t	HK050
HKG, 07-06, 2.6t	HK051-HK106
HKG, 07-06, 2.6t	HK055
HKG, 07-06, 2.6t	HK058
HKG, 07-06, 2.6t	HK059
HKG, 07-06, 2.6t	HK060
HKG, 07-06, 2.6t	HK062-HK072
HKG, 07-06, 2.6t	HK064
HKG, 07-06, 2.6t	HK067-HK082
HKG, 07-06, 2.6t	HK068
HKG, 07-06, 2.6t	HK069
HKG, 07-06, 2.6t	HK070-HK084
HKG, 07-06, 2.6t	HK073
HKG, 07-06, 2.6t	HK074
HKG, 07-06, 2.6t	HK076
HKG, 07-06, 2.6t	HK077
HKG, 07-06, 2.6t	HK078
HKG, 07-06, 2.6t	HK080
HKG, 07-06, 2.6t	HK081
HKG, 07-06, 2.6t	HK083
HKG, 07-06, 2.6t	HK085
HKG, 07-06, 2.6t	HK086-HK113
HKG, 07-06, 2.6t	HK088
HKG, 07-06, 2.6t	HK090
HKG, 07-06, 2.6t	HK091-HK134
HKG, 07-06, 2.6t	HK094
HKG, 07-06, 2.6t	HK096
HKG, 07-06, 2.6t	HK097
HKG, 07-06, 2.6t	HK098
HKG, 07-06, 2.6t	HK100
HKG, 07-06, 2.6t	HK103
HKG, 07-06, 2.6t	HK104
HKG, 07-06, 2.6t	HK105
HKG, 07-06, 2.6t	HK107
HKG, 07-06, 2.6t	HK108
HKG, 07-06, 2.6t	HK109
HKG, 07-06, 2.6t	HK111
HKG, 07-06, 2.6t	HK112
HKG, 07-06, 2.6t	HK117
HKG, 07-06, 2.6t	HK118
HKG, 07-06, 2.6t	HK119
HKG, 07-06, 2.6t	HK122
HKG, 07-06, 2.6t	HK125
HKG, 07-06, 2.6t	HK126
HKG, 07-06, 2.6t	HK127
HKG, 07-06, 2.6t	HK128
HKG, 07-06, 2.6t	HK129
HKG, 07-06, 2.6t	HK132
HKG, 07-06, 2.6t	HK136
HKG, 07-06, 2.6t	HK137
HKG, 07-06, 2.6t	HK138
HKG, 07-06, 2.6t	HK139
HKG, 07-06, 2.6t	HK140
HKG, 07-06, 2.6t	HK141
HKG, 07-06, 2.6t	HK142
HKG, 07-06, 2.6t	HK143
HKG, 07-06, 2.6t	HK144
HKG, 07-06, 2.6t	HK146
HKG, 07-06, 2.6t	HK147
HKG, 07-06, 2.6t	HK148
HKG, 07-06, 2.6t	HK149
HKG, 07-06, 2.6t	HK150
TWN, 07-06, 1.2t	TW64.208
TWN, 07-06, 1.2t	TW64.212
TWN, 07-06, 1.2t	TW64.225
TWN, 07-06, 1.2t	TW64.228
TWN, 07-06, 1.2t	TW64.230
TWN, 07-06, 1.2t	TW64.253
TWN, 07-06, 1.2t	TW64.261
TWN, 07-06, 1.2t	TW64.285
TWN, 07-06, 1.2t	TW64.302
TWN, 07-06, 1.2t	TW64.32
TWN, 07-06, 1.2t	TW64.355
TWN, 07-06, 1.2t	TW64.379
TWN, 07-06, 1.2t	TW64.4
TWN, 07-06, 1.2t	TW64.494
TWN, 07-06, 1.2t	TW64.537
TWN, 07-06, 1.2t	TW64.544
TWN, 07-06, 1.2t	TW64.563
TWN, 07-06, 1.2t	TW64.568
TWN, 07-06, 1.2t	TW64.595
TWN, 07-06, 1.2t	TW64.6
TWN, 07-06, 1.2t	TW64.604
TWN, 07-06, 1.2t	TW64.608
TWN, 07-06, 1.2t	TW64.676
TWN, 07-06, 1.2t	TW64.690
TWN, 07-06, 1.2t	TW64.7
TWN, 07-06, 1.2t	TW64.8
TWN, 07-06, 1.2t	TW64.90
TWN, 07-06, 1.2t	TW64.101-TW64.99
TWN, 07-06, 1.2t	TW64.10-TW64.92
TWN, 07-06, 1.2t	TW64.153-TW64.154
TWN, 07-06, 1.2t	TW64.22-TW64.86
TWN, 07-06, 1.2t	TW64.256-TW64.728
TWN, 07-06, 1.2t	TW64.3-TW64.5
TWN, 07-06, 1.2t	TW64.424-TW64.425
TWN, 07-06, 1.2t	TW64.490-TW64.622
TWN, 07-06, 1.2t	TW64.596-TW64.599
TWN, 07-06, 1.2t	TW64.598-TW64.600
TWN, 07-06, 1.2t	TW64.614-TW64.633
TWN, 07-06, 1.2t	TW64.629-TW64.635
TWN, 07-06, 1.2t	TW64.717-TW64.85
TWN, 07-06, 1.2t	TW64.726-TW64.729
